Organism Name,Vx Mean,Vy Mean,Vz Mean,Vx std,Vy std,Vz std,Vx max,Vy max,Vz max,Size (um)
Acorn Worm,0.063088869,-0.013501777,0.026190059,0.943043195,0.453356193,0.9676902,2.785164671,0.737423899,2.48568776,940
Acorn Worm,0.042124333,-0.006414826,-0.165106016,0.671623477,0.486794039,0.638044739,1.621057339,0.833380757,1.550054911,1060
Acorn Worm,0.02380696,0.011623552,-0.147103515,0.68811025,0.47859298,0.758148982,2.139989062,0.785062006,2.560739918,1003
Acorn Worm,-0.021077278,0.045979395,0.09111819,0.347764342,0.373153017,0.453933549,0.867374777,0.556923923,1.182539045,789
Acorn Worm,-8.39E-05,0.016342962,0.148718991,0.657094952,0.334734846,0.66710934,2.004220088,0.661939959,2.76217548,853
Sea Urchin,0.061080149,-0.002370331,-0.242340716,0.433796767,0.152415324,0.286349842,0.85696548,0.500525005,0.618469232,165
Sea Urchin,-0.002258285,-0.001289157,-0.191311944,0.230773417,0.066462791,0.200153371,0.428701796,0.496997095,0.390555184,168
Sea Urchin,0.064750613,-0.022657986,0.157499854,0.256128318,0.233872619,0.190446695,0.477506511,0.502633623,0.545317943,197
Sea Cucumber,-0.004764165,2.75E-05,0.023449613,0.183734093,0.082281669,0.168906444,1.493917765,0.746849636,1.354478661,395
Sea Cucumber,-0.003234784,0.000796948,0.022094001,0.191151171,0.083502375,0.117348011,0.59767009,0.727276388,0.313469246,382
Brittle Star,0.005297796,0.001059742,-0.140512668,0.324188037,0.448536679,0.188199722,1.921404705,1.19836279,0.946268065,458
Brittle Star,-0.001364421,0.003166753,-0.014574111,0.23178938,0.298620957,0.206285216,0.965112058,0.848440355,1.099474616,436
Dendraster,-0.010078664,0.003379577,0.056077306,0.324662329,0.230236937,0.47594723,1.137355133,0.597163185,1.611638888,388
Dendraster,0.016398224,0.019818931,0.049146789,0.372790112,0.266042787,0.469786537,1.121257093,0.559305839,1.468827646,433
Dendraster,0.000718202,0.001468793,0.05074149,0.231697959,0.121307665,0.348409261,0.823698634,0.307361947,1.469019248,436
Dendraster,0.098392333,0.055022696,0.136032459,0.575227747,0.310194147,0.252323168,3.826499508,0.691312924,0.977548966,398
Dendraster,-0.018216266,-0.000457637,0.065953905,0.279690575,0.188524108,0.293976005,0.989854878,0.472797464,1.320081354,426
Dendraster,-0.002168464,-5.05E-05,0.047995668,0.324027982,0.249622557,0.311806674,1.604544293,0.766177535,1.675497936,401
Dendraster,-0.006375064,-0.00306944,-0.058844954,0.341692047,0.157347055,0.382960485,1.097466827,0.651178011,2.612042067,394
Dendraster,-0.008390563,-0.005919728,-0.075467166,0.433280565,0.157507136,0.534517756,1.702355679,0.778242986,2.328940251,433
Dendraster,-0.015831517,-0.021457569,-0.070063326,0.518372157,0.224452706,0.401685491,4.218452603,0.84687811,1.283153574,442
Polychaete,-0.026146105,0.007814573,-0.136927548,0.260610939,0.091031874,0.269733978,2.324580214,0.340434224,0.91267322,356
Polychaete,0.007944192,0.004156531,-0.218532324,0.170873008,0.075932184,0.13999183,0.442324698,0.330180335,0.585532548,343
Polychaete,0.00664857,-0.002305995,-0.580032153,0.458196947,0.100439569,0.575983856,1.526297094,0.429989973,2.179444733,340
Starfish,-0.053859008,0.027776118,-0.015326404,0.397236584,0.150259657,0.80543961,1.066176855,0.396205271,2.070599233,1105
Starfish,0.009156474,0.002756323,0.175984057,0.223193816,0.11540908,0.294604932,0.872343467,0.553857731,1.392755959,1388
Starfish,0.02566364,-0.003379892,0.224073855,0.401093291,0.107271317,0.447504645,2.79081153,0.43925189,2.432657022,1085
Snail,0.00792969,-0.001847102,-0.266112232,0.456709787,0.226105347,0.236446121,1.002138057,0.479805947,0.927405565,222
Snail,-0.064936852,-0.022276558,0.28992239,0.313260991,0.243727515,0.159107148,0.788369221,0.52676359,0.666660006,242
Snail,0.014102754,0.003490886,-0.183535481,0.128575557,0.0460057,0.121862153,0.338574722,0.262286431,0.491601169,213
Snail,0.098616958,0.019435779,0.209944941,0.275575238,0.076668682,0.217255401,0.669231661,0.222154153,0.499517996,245
Snail,-0.014790959,-6.70E-05,-0.018053449,0.2204286,0.081698701,0.284970004,0.711893231,0.382503301,1.939361611,248
Snail,0.001864127,0.002665008,0.306677237,0.410843793,0.089247634,0.714476577,1.393655525,0.313642103,3.159784856,261
Snail,0.005230946,-0.003198487,0.068507732,0.323738288,0.088518266,0.346422321,1.348178328,0.365419465,1.556725606,264